Time [min.]:	UV [A.U.]:	Conductivity [mS/cm]:			
11.117	0.0902	1.73			
11.133	0.0904	1.71			
11.150	0.0905	1.71			
11.167	0.0907	1.71			
11.183	0.0908	1.73			
11.200	0.0910	1.71			
11.217	0.0911	1.71			
11.233	0.0913	1.71			
11.250	0.0915	1.71			
11.267	0.0917	1.71			
11.283	0.0920	1.71			
11.300	0.0922	1.71			
11.317	0.0925	1.71			
11.333	0.0928	1.71			
11.350	0.0932	1.71			
11.367	0.0935	1.71			
11.383	0.0938	1.69			
11.400	0.0943	1.71			
11.417	0.0948	1.71			
11.433	0.0952	1.71			
11.450	0.0958	1.73			
11.467	0.0964	1.71			
11.483	0.0971	1.71			
11.500	0.0978	1.71			
11.517	0.0985	1.69			
11.533	0.0989	1.73			
11.550	0.0991	1.71			
11.567	0.0992	1.71			
11.583	0.0993	1.73			
11.600	0.0996	1.71			
11.617	0.1001	1.71			
11.633	0.1008	1.71			
11.650	0.1018	1.71			
11.667	0.1032	1.71			
11.683	0.1048	1.69			
11.700	0.1065	1.71			
11.717	0.1079	1.71			
11.733	0.1090	1.73			
11.750	0.1095	1.71			
11.767	0.1101	1.71			
11.783	0.1110	1.71			
11.800	0.1121	1.69			
11.817	0.1128	1.71			
11.833	0.1130	1.71			
11.850	0.1126	1.71			
11.867	0.1114	1.71			
11.883	0.1102	1.71			
11.900	0.1089	1.71			
11.917	0.1073	1.71			
11.933	0.1059	1.71			
11.950	0.1051	1.71			
11.967	0.1046	1.73			
11.983	0.1039	1.71			
12.000	0.1028	1.71			
12.017	0.1010	1.71			
12.033	0.0989	1.71			
12.050	0.0972	1.71			
12.067	0.0966	1.71			
12.083	0.0968	1.69			
12.100	0.0982	1.71			
12.117	0.1005	1.73			
